stations,NOME,BACIA,ALTITUDE (M),COORD_X,COORD_Y,LATITUDE,LONGITUDE,ENTIDADE,DISTRITO,CONCELHO,FREGUESIA,RIO,ÁREA DRENADA (KM2),DISTÂNCIA FOZ (KM),ENTRADA FUNCIONAMENTO,DATA FECHO,OBJECTIVO,ESTADO
29M.03F,ALB. ALCOUTIM (F),GUADIANA,57,256611,56171,37.47,-7.492535,ARH-ALGARVE,FARO,ALCOUTIM,ALCOUTIM,BARRANCO DOS LADROES,23.39,42.19,17/05/2000,18/09/2002,CAPTAÇÃO-75-440 / EXTRACÇÃO,EXTINTA
29M.03S,ALB. ALCOUTIM (S),GUADIANA,57,256611,56171,37.47,-7.492535,ARH-ALGARVE,FARO,ALCOUTIM,ALCOUTIM,BARRANCO DOS LADROES,23.39,42.19,17/05/2000,-,CAPTAÇÃO-75-440 / EXTRACÇÃO / LE(CAPTAÇÃO),ATIVA
06Q.03C,ALB. ALDEADÁVILA (C),DOURO,-,-,-,41.213585,-6.683815,ARH-NORTE,BRAGANÇA,MOGADOURO,BRUÇÓ,,-,-,-,-,-,-
24M.05F,ALB. ALQUEVA (F),GUADIANA,100,255875,136966,38.19796,-7.49523,INAG/LABELEC,BEJA,MOURA,MOURA (SÃO JOÃO BAPTISTA),RIO GUADIANA,55288.95,159.65,15/01/2003,10/12/2004,IMPACTO / FLUXO-LE,EXTINTA
24M.05M,ALB. ALQUEVA (M),GUADIANA,100,255875,136966,38.19796,-7.49523,INAG/LABELEC,BEJA,MOURA,MOURA (SÃO JOÃO BAPTISTA),RIO GUADIANA,55288.95,159.65,15/01/2003,10/12/2004,IMPACTO / FLUXO-LE,EXTINTA
24M.05S,ALB. ALQUEVA (S),GUADIANA,100,255875,136966,38.19796,-7.49523,INAG/LABELEC,BEJA,MOURA,MOURA (SÃO JOÃO BAPTISTA),RIO GUADIANA,55288.95,159.65,15/01/2003,10/12/2004,IMPACTO / FLUXO-LE / NITRATOS-EST_TRÓFICO / DQA_QUIM_VIG / DQA_ECOL_OPER,EXTINTA
12J.07F,ALB. ALTO CEIRA_est 1 fundo- CCHE,MONDEGO,-,-,-,40.189639,-7.845694,EDP,COIMBRA,PAMPILHOSA DA SERRA,FAJÃO,RIO CEIRA,-,-,01/01/2015,-,TURH,ATIVA
12J.07C,ALB. ALTO CEIRA_est 1 int - CCHE,MONDEGO,-,-,-,40.189639,-7.845694,EDP,COIMBRA,PAMPILHOSA DA SERRA,FAJÃO,RIO CEIRA,-,-,01/01/2015,-,TURH,ATIVA
12J.07P,ALB. ALTO CEIRA_est 1 perfil - CCHE,MONDEGO,-,-,-,40.189639,-7.845694,EDP,COIMBRA,PAMPILHOSA DA SERRA,FAJÃO,RIO CEIRA,-,-,01/01/2015,-,TURH,ATIVA
03J.07,ALB. ALTO CÁVADO,CÁVADO/RIBEIRAS COSTEIRAS,883,221413.72,536962.99,41.801783,-7.87548,ARH-NORTE,VILA REAL,MONTALEGRE,SEZELHE,RIO CÁVADO,90.27,108.31,18/10/1995,-,IMPACTO / PISC-SALM-78-659 / DQA_QUIM_VIG,ATIVA
03J.11C,ALB. ALTO CÁVADO_est 1 int - CCHE,CÁVADO/RIBEIRAS COSTEIRAS,-,-,-,41.804583,-7.873583,EDP,VILA REAL,MONTALEGRE,SEZELHE,RIO CÁVADO,-,-,01/01/2010,-,TURH,ATIVA
03J.11P,ALB. ALTO CÁVADO_est 1 perfil - CCHE,CÁVADO/RIBEIRAS COSTEIRAS,-,-,-,41.804583,-7.873583,EDP,VILA REAL,MONTALEGRE,SEZELHE,RIO CÁVADO,-,-,01/01/2010,-,TURH,ATIVA
03J.11S,ALB. ALTO CÁVADO_est 1 sup - CCHE,,-,-,-,41.804583,-7.873583,EDP,VILA REAL,MONTALEGRE,SEZELHE,RIO CÁVADO,-,-,01/01/2008,-,TURH,ATIVA
02H.03,ALB. ALTO LINDOSO,LIMA,304,194265,544758,41.87226,-8.2022,ARH-NORTE,VIANA DO CASTELO,ARCOS DE VALDEVEZ,SOAJO,RIO LIMA,1510.91,67.37,04/11/1996,-,FLUXO-TFRONT-LE(PISC-SALM) / DQA_QUIM_VIG / CADC,ATIVA
02H.59C,ALB. ALTO LINDOSO_est 1 int - CCHE,LIMA,-,-,-,41.87364,-8.19917,EDP,VIANA DO CASTELO,PONTE DA BARCA,LINDOSO,RIO LIMA,-,-,01/01/2010,-,TURH,ATIVA
02H.59P,ALB. ALTO LINDOSO_est 1 perfil - CCHE,LIMA,-,-,-,41.87364,-8.19917,EDP,VIANA DO CASTELO,PONTE DA BARCA,LINDOSO,RIO LIMA,-,-,01/01/2010,-,TURH,ATIVA
02H.55C,ALB. ALTO LINDOSO_est 2 int - CCHE,LIMA,-,-,-,41.875861,-8.188361,EDP,VIANA DO CASTELO,PONTE DA BARCA,LINDOSO,RIO LIMA,-,-,01/01/2010,-,TURH,ATIVA
02H.55P,ALB. ALTO LINDOSO_est 2 perfil - CCHE,LIMA,-,-,-,41.875861,-8.188361,EDP,VIANA DO CASTELO,PONTE DA BARCA,LINDOSO,RIO LIMA,-,-,01/01/2010,-,TURH,ATIVA
